name,page_url,icon,description,unlock,ability,requirement,ball,passive,evolutions,combinations
Bleed,,https://static.wikia.nocookie.net/ballpit/images/a/a3/Bleed_Ball.png/revision/latest/scale-to-width-down/100?cb=20251022183501,Inflicts 2 stacks of bleed. Bleeding enemies receive 1 damage per stack when hit by a ball (max 8 stacks).,,,,,,,
Brood Mother,,https://static.wikia.nocookie.net/ballpit/images/8/8d/Brood_Mother_Ball.png/revision/latest/scale-to-width-down/100?cb=20251022183559,Has a 25% chance of birthing a baby ball each time it hits an enemy.,,,,,,,
Burn,,https://static.wikia.nocookie.net/ballpit/images/6/65/Burn_Ball.png/revision/latest/scale-to-width-down/100?cb=20251022183559,Add 1 stack of burn on hit for 3 seconds (max 3 stacks). Burnt units are dealt 4-8 damage per stack per second.,,,,,,,
Cell,,https://static.wikia.nocookie.net/ballpit/images/d/d0/Cell_Ball.png/revision/latest/scale-to-width-down/100?cb=20251022183559,Splits into a clone on hit 2 times.,,,,,,,
Charm,,https://static.wikia.nocookie.net/ballpit/images/0/0b/Charm_Ball.png/revision/latest/scale-to-width-down/100?cb=20251022183559,Each hit has a 4% chance of charming the enemy for 5 seconds. Charmed units walk up the board and attack enemies.,,,,,,,
Dark,,https://static.wikia.nocookie.net/ballpit/images/6/63/Dark_Ball.png/revision/latest/scale-to-width-down/100?cb=20251022183558,Deals 3.0x damage but destroys itself after hitting an enemy. Has a 3 second cooldown before it can be shot again.,,,,,,,
Earthquake,,https://static.wikia.nocookie.net/ballpit/images/9/92/Earthquake_Ball.png/revision/latest/scale-to-width-down/100?cb=20251022183559,Deals 5-13 damage to nearby units in a 3x3 tile square.,,,,,,,
Egg Sac,,https://static.wikia.nocookie.net/ballpit/images/6/67/Egg_Sac_Ball.png/revision/latest/scale-to-width-down/100?cb=20251022183559,Explodes into 2-4 baby balls on hitting an enemy. Has a 3 second cooldown before it can be shot again.,,,,,,,
Freeze,,https://static.wikia.nocookie.net/ballpit/images/c/c4/Freeze_Ball.png/revision/latest/scale-to-width-down/100?cb=20251022183559,Has a 4% chance to freeze enemies for 5.0 seconds. Frozen enemies receive 25% more damage.,,,,,,,
Ghost,,https://static.wikia.nocookie.net/ballpit/images/f/f8/Ghost_Ball.png/revision/latest/scale-to-width-down/100?cb=20251022183559,Passes through enemies.,,,,,,,
Iron,,https://static.wikia.nocookie.net/ballpit/images/9/98/Iron_Ball.png/revision/latest/scale-to-width-down/100?cb=20251022183559,Deals double damage but moves 40% slower.,,,,,,,
Laser (Horizontal),,https://static.wikia.nocookie.net/ballpit/images/7/7f/Laser_%28Horizontal%29_Ball.png/revision/latest/scale-to-width-down/100?cb=20251022183559,Deals 9-18 damage to all enemies in the same row.,,,,,,,
Laser (Vertical),,https://static.wikia.nocookie.net/ballpit/images/c/c7/Laser_%28Vertical%29_Ball.png/revision/latest/scale-to-width-down/100?cb=20251022183559,Deals 9-18 damage to all enemies in the same column.,,,,,,,
Light,,https://static.wikia.nocookie.net/ballpit/images/4/4a/Light_Ball.png/revision/latest/scale-to-width-down/100?cb=20251022183559,Blinds enemies on hit for 3 seconds. Blinded units have a hard time detecting you and have a 50% chance of missing when they attack.,,,,,,,
Lightning,,https://static.wikia.nocookie.net/ballpit/images/4/41/Lightning_Ball.png/revision/latest/scale-to-width-down/100?cb=20251022183559,Deals 1-20 damage to up to 3 nearby enemies.,,,,,,,
Poison,,https://static.wikia.nocookie.net/ballpit/images/4/41/Poison_Ball.png/revision/latest/scale-to-width-down/100?cb=20251022183559,Applies 1 stack of poison on hit (max 5 stacks). Poison lasts for 6 seconds and each stack deals 1-4 damage per second.,,,,,,,
