name,page_url,icon,description,unlock,ability,requirement,ball,passive,evolutions,combinations
Archer's Effigy,,https://static.wikia.nocookie.net/ballpit/images/9/9f/Archers_Effigy.png/revision/latest/scale-to-width-down/100?cb=20251024023810,"Every 7-12 rows, spawn a stone archer with 160 health on your side. Stone archers are immune to ball damage and shoot arrows at enemies, dealing 10-20 each",,,N/A,,,,
Artificial Heart,,https://static.wikia.nocookie.net/ballpit/images/f/f0/Artificial_Heart.png/revision/latest/scale-to-width-down/100?cb=20251024023811,Friendly pieces gain 100% more health,,,"The player needs to have at least one other passive that gives them ""friendly pieces"" (e.g. Archer's Effigy)",,,,
Baby Rattle,,https://static.wikia.nocookie.net/ballpit/images/e/ed/Baby_Rattle.png/revision/latest/scale-to-width-down/100?cb=20251024023811,"Gain 1.5x baby balls, but your aim becomes scattered",,,N/A,,,,
Bandage Roll,,https://static.wikia.nocookie.net/ballpit/images/b/b9/Bandage_Roll.png/revision/latest/scale-to-width-down/100?cb=20251024023811,Shoot 1-2 baby balls each time you're healed,,,N/A,,,,
Bottled Tornado,,https://static.wikia.nocookie.net/ballpit/images/2/2b/Bottled_Tornado.png/revision/latest/scale-to-width-down/100?cb=20251024023811,"When you catch a special ball, automatically shoot 1-3 new baby balls in random directions",,,N/A,,,,
Breastplate,,https://static.wikia.nocookie.net/ballpit/images/2/2b/Breastplate.png/revision/latest/scale-to-width-down/100?cb=20251024023811,Decrease damage taken by 10%,,,N/A,,,,
Crown of Thorns,,https://static.wikia.nocookie.net/ballpit/images/1/19/Crown_Of_Thorns.png/revision/latest/scale-to-width-down/100?cb=20251024023811,Destroy the 2 nearest enemies when you are hit from close range,,,N/A,,,,
Cursed Elixir,,https://static.wikia.nocookie.net/ballpit/images/0/01/Cursed_Elixir.png/revision/latest/scale-to-width-down/100?cb=20251024023811,"When a poisoned enemy dies, 10% chance for them to come back as a zombie with 240 health that moves up the board and fights enemies",,,The player needs to have a ball that applies Poison,,,,
Deadeye's Amulet,,https://static.wikia.nocookie.net/ballpit/images/f/f8/Deadeyes_Amulet.png/revision/latest/scale-to-width-down/100?cb=20251024023811,Critical hits deal 10-15 bonus damage,,,N/A,,,,
Diamond Hilted Dagger,,https://static.wikia.nocookie.net/ballpit/images/d/d6/Diamond_Hilted_Dagger.png/revision/latest/scale-to-width-down/100?cb=20251024023811,Increase crit chance to 20% when hitting enemies in the front,,,N/A,,,,
